name,email,city,rating
Spice Hub,spicehub@gmail.com,Delhi,4.5
Hyderabadi House,hyderabadi@gmail.com,Hyderabad,4.8
Punjabi Dhaba,punjabidhaba@gmail.com,Amritsar,4.4
Royal Rajasthani,royalraj@gmail.com,Jaipur,4.6
South Delight,southdelight@gmail.com,Bangalore,4.7
Mumbai Tiffins,mumbaitiffins@gmail.com,Mumbai,4.3
Street Bites,streetbites@gmail.com,Kolkata,4.2
Kerala Kitchen,keralakitchen@gmail.com,Kochi,4.7
Gujju Foods,gujjufoods@gmail.com,Ahmedabad,4.3
Bengal Sweets,bengalsweets@gmail.com,Kolkata,4.6
